Course Absence Rate,PF,FIN,RE,TOTAL,LG
3.0,92,36,,70,C+
25.0,100,28,,71,C+
29.0,90,10,,58,D+
10.0,87,13,,57,D+
10.0,85,10,,55,D+
8.0,93,35,,70,C+
0.0,100,75,,90,A-
10.0,100,75,,90,A-
7.0,100,24,,70,C+
0.0,98,30,,71,C+
7.0,75,62,,70,C+
0.0,100,93,,97,A
0.0,100,80,,92,A-
5.0,100,53,,81,B
5.0,100,35,,74,C+
0.0,68,22,,50,D
10.0,63,68,,65,C
8.0,100,38,,75,B-
0.0,100,88,,95,A
33.0,failed,failed,failed,0,F
0.0,100,70,,88,B+
27.0,100,60,,84,B
27.0,92,10,,59,D+
8.0,100,75,,90,A-
8.0,63,38,,53,D
17.0,100,75,,90,A-
63.0,failed,failed,failed,0,F
15.0,100,90,,96,A
8.0,100,43,,77,B-
3.0,100,68,,87,B+
23.0,96,29,,69,C
43.0,failed,failed,failed,0,F
0.0,98,40,,75,B-
17.0,88,13,,58,D+
13.0,88,10,,57,D+
0.0,68,38,,56,D+
33.0,failed,failed,failed,0,F
8.0,100,38,,75,B-
7.0,100,8,,63,C-
20.0,100,40,,76,B-
23.0,73,20,,52,D
30.0,0,,,0,F
2.0,83,70,,78,B-
30.0,76,13,,51,D
22.0,100,30,,72,C+
3.0,100,90,,96,A
3.0,98,40,,75,B-
25.0,58,35,,49,FX
8.0,73,18,,51,D
17.0,100,63,,85,B+
28.0,67,30,,52,D
0.0,100,80,,92,A-
10.0,100,15,,66,C
8.0,100,74,,90,A-
10.0,100,60,,84,B
5.0,100,55,,82,B
48.0,failed,failed,failed,0,F
29.0,88,15,,59,D+
0.0,100,25,,70,C+
15.0,75,62,,70,C+
3.0,100,53,,81,B
10.0,100,33,,73,C+
20.0,100,75,,90,A-
25.0,70,20,,50,D
10.0,45,13,33,40,FX
3.0,100,87,,95,A
2.0,100,65,,86,B+
10.0,92,38,,70,C+
20.0,83,15,,56,D+
0.0,100,74,,90,A-
5.0,100,55,,82,B
18.0,60,8,34,50,D
30.0,58,0,,35,FX
65.0,failed,failed,failed,0,F
5.0,80,30,,60,C-
8.0,70,25,,52,D
8.0,100,50,,80,B
18.0,100,43,,77,B-
25.0,42,0,,25,FX
0.0,100,78,,91,A-
15.0,100,55,,82,B
12.0,73,28,,55,D+
17.0,100,8,,63,C-
20.0,25,abs,,0,F
15.0,100,25,,70,C+
0.0,83,30,,62,C-
8.0,88,25,,63,C-
0.0,100,38,,75,B-
0.0,97,63,,83,B
23.0,68,25,,51,D
17.0,21,abs,,0,F
19.0,7,,,4,F
21.0,70,10,,46,FX
24.0,83,40,,66,C
21.0,100,33,,73,C+
29.0,82,55,,71,C+
5.0,80,45,,66,C
26.0,82,10,,53,D
0.0,100,95,,98,A
24.0,7,,,4,F
10.0,100,65,,86,B+
7.0,100,55,,82,B
21.0,95,25,,67,C
0.0,73,65,,70,C+
0.0,92,28,,66,C
0.0,100,74,,90,A-
50.0,failed,failed,failed,0,F
7.0,95,38,,72,C+
7.0,100,33,,73,C+
2.0,88,15,,59,D+
10.0,93,53,,77,B-
26.0,100,50,,80,B
26.0,7,,,4,F
29.0,53,48,,51,D
0.0,100,37,,75,B-
5.0,75,30,,57,D+
5.0,73,35,,58,D+
14.0,92,8,,58,D+
29.0,100,30,,72,C+
21.0,100,48,,79,B-
12.0,100,45,,78,B-
14.0,100,53,,81,B
26.0,58,10,40,51,D
7.0,67,0,,40,FX
10.0,90,40,,70,C+
36.0,failed,failed,failed,0,F
0.0,100,45.0,,78,B-
14.0,100,100.0,,100,A
3.0,100,100.0,,100,A
0.0,68,63.0,,66,C
14.0,42,55.0,50.0,45,FX
10.0,76,78.0,,77,B-
19.0,64,45.0,,56,D+
3.0,97,98.0,,97,A
4.0,93,100.0,,96,A
0.0,100,75.0,,90,A-
0.0,88,100.0,,93,A-
0.0,85,88.0,,86,B+
0.0,97,63.0,,83,B
4.0,61,63.0,,62,C-
10.0,82,70.0,,77,B-
7.0,73,59.0,,67,C
0.0,81,88.0,,84,B
4.0,37,50.0,,42,FX
0.0,37,63.0,,47,FX
7.0,80,100.0,,88,B+
7.0,73,50.0,,64,C-
4.0,62,50.0,,57,D+
3.0,63,81.0,,70,C+
0.0,78,63.0,,72,C+
4.0,100,100.0,,100,A
7.0,82,55.0,,71,C+
11.0,27,63.0,,41,FX
11.0,31,0.0,,19,F
0.0,87,100.0,,92,A-
0.0,87,100.0,,92,A-
19.0,60,96.0,,74,C+
0.0,95,63.0,,82,B
0.0,100,100.0,,100,A
0.0,95,63.0,,82,B
4.0,82,25.0,,59,D+
7.0,93,88.0,,91,A-
0.0,70,88.0,,77,B-
3.0,93,85.0,,90,A-
14.0,97,60.0,,82,B
4.0,75,88.0,,80,B
3.0,86,70.0,,80,B
4.0,84,100.0,,90,A-
0.0,58,88.0,,70,C+
0.0,95,100.0,,97,A
0.0,86,97.0,,90,A-
19.0,78,87.0,,82,B
4.0,65,75.0,,69,C
4.0,85,88.0,,86,B+
0.0,70,95.0,,80,B
26.0,60,40.0,,52,D
3.0,81,65.0,,75,B-
4.0,68,88.0,,76,B-
0.0,65,100.0,,79,B-
0.0,81,100.0,,89,B+
7.0,52,50.0,,51,D
4.0,66,0.0,25.0,50,D
7.0,78,100.0,,87,B+
7.0,33,0.0,,20,F
7.0,76,25.0,,56,D+
11.0,65,63.0,,64,C-
4.0,74,100.0,,84,B
3.0,94,80.0,,88,B+
4.0,58,75.0,,65,C
7.0,67,38.0,,55,D+
4.0,52,88.0,,66,C
7.0,72,45.0,,61,C-
4.0,80,100.0,,88,B+
7.0,63,88.0,,73,C+
11.0,33,50.0,,40,FX
4.0,0,,,0,F
0.0,91,100.0,,95,A
24.0,61,45.0,,55,D+
7.0,84,55.0,,72,C+
0.0,88,50.0,,73,C+
11.0,62,50.0,,57,D+
7.0,50,100.0,,70,C+
0.0,80,100.0,,88,B+
4.0,87,100.0,,92,A-
0.0,94,100.0,,96,A
